iter	Passed	Remaining
0	4	2296
1	8	2027
2	11	1900
3	14	1832
4	18	1838
5	22	1853
6	25	1829
7	29	1825
8	34	1877
9	38	1871
10	42	1904
11	46	1890
12	50	1898
13	55	1911
14	59	1912
15	62	1905
16	67	1925
17	74	1989
18	77	1966
19	82	1981
20	86	1978
21	91	1978
22	94	1958
23	98	1960
24	102	1947
25	105	1926
26	108	1904
27	112	1895
28	116	1886
29	119	1867
30	122	1852
31	125	1837
32	129	1836
33	133	1824
34	136	1809
35	139	1796
36	142	1785
37	146	1785
38	150	1775
39	153	1762
40	156	1751
41	161	1759
42	164	1748
43	167	1737
44	170	1726
45	174	1719
46	177	1714
47	181	1708
48	184	1698
49	187	1688
50	192	1692
51	195	1687
52	198	1677
53	202	1668
54	205	1663
55	209	1661
56	212	1652
57	215	1644
58	218	1636
59	222	1634
60	226	1627
61	229	1620
62	232	1612
63	235	1605
64	239	1602
65	243	1599
66	246	1591
67	249	1584
68	254	1588
69	257	1582
70	260	1575
71	263	1568
72	267	1562
73	271	1561
74	274	1555
75	277	1548
76	280	1542
77	284	1539
78	287	1533
79	290	1527
80	294	1521
81	297	1515
82	300	1512
83	304	1506
84	307	1500
85	310	1494
86	313	1489
87	317	1485
88	320	1480
89	323	1474
90	326	1469
91	330	1465
92	334	1462
93	337	1456
94	340	1451
95	343	1445
96	348	1447
97	351	1443
98	354	1437
99	358	1432
100	361	1427
101	365	1425
102	369	1422
103	373	1420
104	378	1424
105	382	1421
106	385	1416
107	388	1410
108	392	1406
109	396	1404
110	399	1399
111	402	1394
112	405	1389
113	409	1386
114	412	1381
115	415	1376
116	418	1371
117	422	1366
118	426	1363
119	429	1359
120	432	1354
121	435	1349
122	438	1343
123	441	1340
124	445	1335
125	448	1329
126	450	1324
127	453	1319
128	457	1315
129	460	1310
130	463	1305
131	466	1300
132	469	1295
133	473	1292
134	476	1287
135	479	1282
136	482	1277
137	485	1272
138	488	1269
139	491	1264
140	495	1260
141	498	1256
142	501	1251
143	504	1248
144	507	1243
145	511	1239
146	514	1234
147	517	1229
148	520	1226
149	523	1221
150	526	1217
