iter	RMSE
0	50.93274555
1	48.26127729
2	45.62014148
3	43.27438746
4	41.17785238
5	39.25421898
6	37.54011116
7	36.09917872
8	34.70642183
9	33.47342872
10	32.25400968
11	31.44942418
12	30.51963848
13	29.74803546
14	29.0806737
15	28.37723752
16	27.74622941
17	27.31864484
18	26.77116238
19	26.33727117
20	25.90559663
21	25.52541747
22	25.17205527
23	24.91427486
24	24.63851784
25	24.40446231
26	24.16821499
27	23.96600711
28	23.77474034
29	23.63085397
30	23.48644706
31	23.31527258
32	23.19148703
33	23.08815687
34	22.9658406
35	22.86103196
36	22.75662883
37	22.66846604
38	22.54413917
39	22.46157016
40	22.39920177
41	22.34767992
42	22.24858672
43	22.18359457
44	22.11134154
45	22.04522297
46	21.98328104
47	21.9330305
48	21.87720467
49	21.83584843
50	21.7566755
51	21.71394934
52	21.66690395
53	21.6154914
54	21.57471687
55	21.51743973
56	21.48943339
57	21.4654376
58	21.43441149
59	21.40565878
60	21.34646202
61	21.30840946
62	21.27231585
63	21.24744422
64	21.19351682
65	21.17629312
66	21.12982883
67	21.09898073
68	21.08062908
69	21.04910743
70	21.0230508
71	20.99542264
72	20.95433389
73	20.91301518
74	20.8858379
75	20.85385779
76	20.83504783
77	20.80670303
78	20.79627731
79	20.75115606
80	20.73876446
81	20.70876781
82	20.682084
83	20.63102878
84	20.6195639
85	20.60026254
86	20.58049398
87	20.55956454
88	20.51328058
89	20.49369427
90	20.46188865
91	20.44496206
92	20.41333965
93	20.39203754
94	20.35649853
95	20.34340179
96	20.33214188
97	20.31250301
98	20.24918082
99	20.23218238
