iter	Passed	Remaining
0	142	14139
1	147	7220
2	151	4902
3	155	3738
4	159	3037
5	164	2570
6	168	2240
7	173	1990
8	177	1790
9	181	1632
10	186	1505
11	191	1401
12	195	1306
13	199	1224
14	203	1151
15	207	1088
16	211	1032
17	215	981
18	219	935
19	223	893
20	227	857
21	232	823
22	236	790
23	240	761
24	245	737
25	250	713
26	256	693
27	261	671
28	265	650
29	270	630
30	274	611
31	278	591
32	281	571
33	284	552
34	287	533
35	289	514
36	291	496
37	293	479
38	295	462
39	297	446
40	299	430
41	301	415
42	302	401
43	304	387
44	306	374
45	308	361
46	310	349
47	312	338
48	313	326
49	315	315
50	317	305
51	319	294
52	321	284
53	323	275
54	324	265
55	326	256
56	328	247
57	330	239
58	332	230
59	334	222
60	336	214
61	338	207
62	339	199
63	341	192
64	343	185
65	346	178
66	348	171
67	354	166
68	356	160
69	358	153
70	360	147
71	362	140
72	364	134
73	366	128
74	368	122
75	370	116
76	372	111
77	374	105
78	376	100
79	379	94
80	381	89
81	383	84
82	385	79
83	387	73
84	389	68
85	391	63
86	393	58
87	395	53
88	397	49
89	399	44
90	401	39
91	403	35
92	405	30
93	407	26
94	409	21
95	411	17
96	413	12
97	415	8
98	417	4
99	418	0
