brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price
Honor,Android,18.08,yes,no,13.0,8.0,64.0,4.0,5000.0,210.0,2018,535,250.05
Asus,Android,12.88,yes,no,23.0,8.0,64.0,4.0,3300.0,170.0,2017,796,440.95
Micromax,Others,5.28,no,no,0.3,0.3,16.0,4.0,2000.0,92.0,2013,946,30.17
Lava,Android,14.5,yes,no,,5.0,32.0,2.0,3200.0,150.0,2020,359,79.94
Huawei,Android,17.78,no,no,3.15,0.3,8.0,1.0,4100.0,350.0,2013,835,150.21
Vivo,Android,16.36,yes,yes,13.0,32.0,128.0,8.0,4350.0,198.5,2019,489,441.99
Honor,Android,12.75,yes,no,13.0,8.0,32.0,4.0,3000.0,145.0,2017,632,179.96
Microsoft,Windows,12.7,yes,no,8.0,1.0,32.0,4.0,2500.0,145.0,2015,874,151.36
Xiaomi,Android,12.83,yes,no,13.0,5.0,16.0,4.0,4100.0,175.0,2016,1042,171.06
Lava,Android,7.75,no,no,2.0,0.3,512.0,0.25,1400.0,115.4,2013,912,41.54
LG,Android,12.88,yes,no,8.0,1.3,32.0,4.0,3200.0,167.0,2014,1009,270.17
Micromax,Android,12.7,yes,no,8.0,2.0,32.0,4.0,4000.0,151.0,2017,868,91.01
Sony,Android,12.7,yes,no,13.0,5.0,16.0,4.0,2300.0,147.0,2016,853,149.97
Vivo,Android,12.83,yes,no,13.0,20.0,32.0,4.0,3000.0,154.0,2016,617,249.65
ZTE,Android,16.31,yes,no,14.5,8.0,128.0,6.0,4000.0,186.0,2019,330,551.41
Honor,Android,15.32,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,140.87
Lenovo,Android,25.43,yes,no,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,179.69
Samsung,Android,12.75,yes,no,13.0,13.0,16.0,4.0,3000.0,160.0,2017,779,128.09
Samsung,Android,7.7,no,no,2.0,2.0,16.0,4.0,1200.0,107.0,2014,1082,101.07
Nokia,Android,18.01,no,no,8.0,5.0,32.0,4.0,5300.0,318.0,2014,893,320.91
Realme,Android,15.32,yes,no,,25.0,64.0,4.0,4045.0,172.0,2019,288,143.56
Others,Android,12.7,no,no,5.0,0.3,16.0,4.0,2000.0,154.5,2013,1041,148.53
Alcatel,Android,10.16,no,no,2.0,0.3,16.0,4.0,1500.0,159.95,2016,893,59.46
Lenovo,Android,12.83,yes,no,13.0,2.0,32.0,4.0,2500.0,173.0,2014,988,158.9
Panasonic,Android,12.7,yes,no,13.0,5.0,32.0,4.0,4000.0,163.0,2017,705,109.89
Oppo,Android,15.34,yes,yes,,32.0,128.0,8.0,4025.0,180.0,2020,326,339.15
ZTE,Android,16.43,yes,no,14.5,20.0,128.0,6.0,4000.0,175.0,2019,333,470.11
Samsung,Others,7.62,no,no,2.0,1.3,16.0,4.0,1000.0,89.2,2013,542,58.79
Oppo,Android,15.39,yes,no,8.0,16.0,256.0,4.0,4065.0,210.0,2019,252,550.69
Others,Android,15.44,yes,no,2.0,8.0,32.0,2.0,3500.0,191.6,2020,243,170.79
Vivo,Android,16.59,yes,no,,16.0,128.0,8.0,5000.0,197.0,2020,108,212.48
Motorola,Android,12.83,yes,no,21.0,5.0,16.0,4.0,2390.0,169.0,2015,694,249.86
Acer,Android,15.24,yes,no,13.0,2.0,16.0,4.0,3300.0,229.0,2013,635,339.31
Honor,Android,15.37,yes,no,13.0,8.0,128.0,4.0,3750.0,188.0,2020,195,165.74
Lenovo,Android,12.7,no,no,8.0,0.3,16.0,4.0,2250.0,176.0,2013,549,230.61
Others,Android,11.76,no,no,5.0,0.3,16.0,4.0,1700.0,147.7,2013,661,158.88
Gionee,Android,12.7,yes,no,8.0,5.0,16.0,4.0,2400.0,136.6,2015,967,131.05
Oppo,Android,12.83,yes,no,16.0,16.0,64.0,4.0,3010.0,145.0,2016,1077,450.52
Xiaomi,Android,15.32,yes,no,12.0,13.0,32.0,3.0,4000.0,190.0,2019,356,127.49
Asus,Android,25.43,no,no,5.0,2.0,32.0,4.0,4890.0,510.0,2015,999,160.78
Micromax,Android,12.83,yes,no,13.0,5.0,32.0,4.0,4000.0,162.0,2017,607,140.94
ZTE,Android,12.7,yes,no,13.0,2.0,16.0,4.0,1780.0,110.0,2013,1065,429.97
Asus,Android,20.32,no,no,5.0,2.0,16.0,4.0,4000.0,320.0,2014,846,149.96
LG,Android,10.29,yes,no,5.0,0.3,32.0,4.0,1940.0,127.0,2016,924,99.39
Others,Android,12.88,yes,no,8.0,5.0,16.0,2.0,2700.0,138.0,2019,440,102.11
Huawei,Android,12.7,no,no,13.0,1.3,32.0,4.0,3000.0,170.0,2013,938,310.69
Others,Android,10.29,yes,no,8.0,1.3,32.0,4.0,2500.0,130.0,2015,943,158.86
Vivo,Android,13.79,yes,no,16.0,8.0,128.0,4.0,3600.0,167.8,2016,618,608.2
Others,Android,12.75,yes,no,13.0,16.0,128.0,4.0,3000.0,155.0,2017,783,400.11
Alcatel,Android,16.56,yes,no,5.0,8.0,64.0,4.0,4000.0,178.0,2019,187,150.81
Apple,iOS,10.34,yes,no,8.0,1.2,16.0,4.0,1810.0,129.0,2014,877,361.5
Karbonn,Android,17.78,no,no,2.0,0.3,16.0,4.0,1625.0,335.0,2013,913,101.3
LG,Android,12.7,yes,no,8.0,1.3,32.0,4.0,2540.0,134.0,2014,780,189.45
Others,Android,12.7,yes,no,13.0,5.0,16.0,4.0,2850.0,139.0,2015,542,207.7
Micromax,Android,12.7,no,no,8.0,2.0,16.0,4.0,2000.0,159.0,2014,791,122.17
Others,Android,12.7,yes,no,5.0,2.0,32.0,4.0,2000.0,167.9,2016,622,58.39
HTC,Android,12.83,yes,no,13.0,4.0,16.0,4.0,2600.0,165.0,2015,719,309.77
HTC,Android,12.83,yes,no,13.0,8.0,16.0,4.0,2600.0,155.0,2014,928,341.16
Huawei,Android,15.47,yes,no,13.0,8.0,32.0,4.0,3020.0,150.0,2019,295,150.19
Vivo,Android,17.5,yes,no,13.0,16.0,128.0,8.0,4500.0,217.3,2019,391,639.71
HTC,Android,12.75,yes,no,16.0,16.0,64.0,4.0,2600.0,142.0,2017,859,210.26
Spice,Android,12.7,no,no,8.0,1.3,16.0,4.0,1800.0,190.0,2014,692,80.75
Others,Android,10.16,yes,no,5.0,1.3,16.0,4.0,2500.0,168.5,2013,607,267.97
Sony,Android,12.7,yes,no,23.0,8.0,32.0,4.0,2300.0,143.0,2017,615,170.67
ZTE,Android,15.24,yes,no,16.0,8.0,256.0,4.0,3800.0,193.0,2018,705,418.25
Sony,Android,12.75,yes,no,20.7,2.2,16.0,4.0,3200.0,163.0,2014,1032,261.05
Huawei,Android,15.37,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,249.73
Panasonic,Android,12.7,no,no,8.0,2.0,32.0,4.0,2000.0,133.0,2014,1014,169.69
Xiaomi,Android,12.7,yes,no,13.0,5.0,64.0,4.0,4100.0,150.0,2017,881,111.1
Lenovo,Android,10.16,no,no,5.0,2.0,16.0,4.0,1500.0,130.0,2014,977,68.61
LG,Android,20.32,no,no,5.0,1.3,16.0,4.0,4200.0,342.0,2014,782,221.46
Google,Android,15.32,yes,no,12.2,,64.0,4.0,3430.0,184.0,2018,475,959.08
Asus,Android,12.75,yes,no,13.0,8.0,32.0,4.0,4100.0,156.0,2017,542,181.7
Acer,Android,17.78,yes,no,13.0,2.0,16.0,4.0,3400.0,260.0,2016,1085,168.84
BlackBerry,Android,12.83,yes,no,13.0,8.0,32.0,4.0,3000.0,178.0,2017,607,200.65
Xiaomi,Android,12.83,yes,no,13.0,5.0,16.0,4.0,3100.0,185.0,2015,980,140.03
Vivo,Android,12.88,yes,no,16.0,24.0,32.0,4.0,3000.0,139.0,2017,597,249.65
ZTE,Android,12.7,yes,no,8.0,8.0,16.0,4.0,2400.0,130.0,2017,595,80.9
Huawei,Android,15.34,yes,no,13.0,16.0,64.0,4.0,4000.0,178.0,2019,244,280.1
Spice,Android,10.29,no,no,5.0,1.3,16.0,4.0,1730.0,123.3,2013,1086,78.84
ZTE,Android,12.7,yes,no,8.0,2.0,16.0,4.0,2480.0,145.0,2015,718,128.79
Vivo,Android,16.23,yes,no,13.0,16.0,256.0,4.0,4000.0,188.0,2019,237,479.52
Spice,Android,12.78,no,no,8.0,5.0,16.0,4.0,2550.0,196.3,2013,730,190.52
HTC,Android,12.83,yes,no,16.0,8.0,32.0,4.0,3000.0,175.0,2017,669,200.57
Others,Android,12.7,yes,no,16.0,8.0,16.0,4.0,2350.0,143.0,2014,717,299.69
Samsung,Android,15.29,yes,yes,8.0,13.0,128.0,12.0,4000.0,163.0,2020,124,679.99
